doc_std_name;NumberOfPatentApplications
HARVARD COLLEGE;11433
YANG TAO;11427
NEC ELECTRONICS CORP;11358
WANG QIAN;11351
XU JIAN;11334
HE WEI;11315
DOW GLOBAL TECHNOLOGIES INC;11313
HITACHI MEDICAL CORP;11306
BORG WARNER;11300
KONICA MINOLTA HOLDINGS INC;11300
CHEN YING;11298
UNIV JOHNS HOPKINS;11298
PING AN TECH SHENZHEN CO LTD;11296
SUZUKI TAKASHI;11296
VOITH PATENT GMBH;11293
BEIJING XIAOMI MOBILE SOFTWARE CO LTD;11291
LINTEC CORP;11281
THOMSON LICENSING SA;11272
UNIV FUDAN;11258
CHUGOKU ELECTRIC POWER;11245
UNIV HARBIN ENG;11237
MA JUN;11236
LI LIANG;11219
XU BIN;11218
MITSUMI ELECTRIC CO;11195
DANFOSS AS;11194
TELEFUNKEN GMBH;11187
CORNING GLASS WORKS;11173
NIPPON ZEON CO;11161
WHIRLPOOL CO;11160
IHI CORP;11160
PPG IND OHIO INC;11159
CHEN MING;11136
WANG CHENG;11105
JIANG TAO;11101
SANDEN CORP;11095
HINO MOTORS LTD;11074
WELLCOME FOUND;11063
MITSUI MINING & SMELTING CO;11057
EXXONMOBIL RES & ENG CO;11055
WANG XIAODONG;11051
KAYABA INDUSTRY CO LTD;11050
LIU MING;11050
JAPAN TOBACCO INC;11050
LI HUA;11013
ZHANG XU;11010
SHIONOGI & CO;10994
KURITA WATER IND LTD;10944
YANG YI;10932
TAIYO YUDEN KK;10931
YANG LIN;10916
WISCONSIN ALUMNI RES FOUND;10899
EASTMAN CHEM CO;10898
DAEWOO ELECTRONICS CORP;10879
WANG BING;10873
FARBENINDUSTRIE AKTIENGESELLSC;10871
BABCOCK & WILCOX CO;10863
WANG KUN;10863
LENOVO BEIJING CO LTD;10846
CHEN HONG;10832
CHEN XI;10816
TRW INC;10809
ZHAO JUN;10808
ALLIED SIGNAL INC;10787
WACKER CHEMIE GMBH;10787
SANOFI AVENTIS;10780
BOEHRINGER INGELHEIM PHARMA;10774
COVIDIEN LP;10767
ZHOU JIAN;10757
NIPPON SOKEN;10745
UNITED SHOE MACHINERY CORP;10686
CALSONIC KANSEI CORP;10666
TEVES GMBH ALFRED;10663
NIPPON ELECTRIC GLASS CO;10659
XU FENG;10636
LIU HONG;10633
HERCULES INC;10631
ARKEMA FRANCE;10614
LI RUI;10594
JAPAN BROADCASTING CORP;10584
TOKYO SANYO ELECTRIC CO;10582
LUBRIZOL CORP;10580
WANG YUE;10575
BENDIX AVIAT CORP;10567
UNIV ZHEJIANG OCEAN;10561
YANG LI;10560
STANDARD OIL CO;10516
TOKYO ELECTRIC POWER CO;10486
LI NA;10479
CELANESE CORP;10470
WANG HUA;10467
KUREHA CHEMICAL IND CO LTD;10439
AGENCY IND SCIENCE TECHN;10434
ELECTRONICS & TELECOMMUNICATIONS RES INST;10415
NUBIA TECHNOLOGY CO LTD;10411
LOCKHEED CORP;10399
SEAGATE TECHNOLOGY LLC;10397
UNIV HARBIN SCIENCE & TECH;10388
CHEVRON USA INC;10385
JOHNSON & SON INC S C;10365
CENTRAL GLASS CO LTD;10361
